region_name,location_name,site_name,site_type,reef_name,protection_status,mpa_name,mpa_area,mpa_year_founded,mpa_isolation,mpa_compliance,fishing_restrictions,shark_fishing_gear,region_id,location_id,site_id,reef_id
Western Atlantic,Colombia,Islas de San Bernardo,I,Isla Tintipan,restricted,National Park of the Corals Rosario and San Bernardo,1200.00,1985,<20km to next reef,medium,entrants,longline,1,109,212,480
Western Atlantic,Colombia,Old Providence Island,I,Old Providence Island,restricted,Seaflower Biosphere Reserve Central Sector,12716.00,2005,>20km to next reef,medium,"effort, area, gear, size, species",spear; hook and line; fish trap; longline,1,109,296,668
Western Atlantic,Cuba,Guanahacabibes,I,Guanahacabibes Reef,closed,Guanahacabibes National Park,398.00,1987,continuous,medium,"area, gear, effort, species, size",hook and line; spear; fish trap,1,2,334,766
Western Atlantic,Cuba,Guanahacabibes,I,Maria la Gorda,closed,Guanahacabibes National Park,398.00,1987,continuous,medium,"gear, effort, size, area, species",fish trap; spear,1,2,334,767
Western Atlantic,Cuba,Isla de la Juventud,I,Punta Frances North,closed,Punta Frances National Marine Park,72.00,2000,>20km to next reef,medium,"gear, species",longline; spear; hook and line; gillnet,1,2,333,764
Western Atlantic,Cuba,Isla de la Juventud,I,Punta Frances South,closed,Punta Frances National Marine Park,72.00,2000,>20km to next reef,medium,"species, gear",longline; gillnet; hook and line; spear,1,2,333,765
Western Atlantic,Cuba,Jardines de la Reina,I,Jardines de la Reina,closed,Parque Nacional Jardines de la Reina,950.00,1996,>20km to next reef,high,"area, bag, entrants, gear, temporal, species, effort, size",,1,2,20,795
Western Atlantic,Dominican Republic,Bayahibe,I,Bayahibe Reef,restricted,,,,,,size,spear; gillnet; hook and line,1,122,320,736
Western Atlantic,Dominican Republic,Boca Chica,I,Boca Chica Reef,openly fished,,,,,,,hook and line; fish trap; longline; gillnet; spear,1,122,323,738
Western Atlantic,Dominican Republic,Buen Hombre,I,Buen Hombre Reef,restricted,,,,,,"gear, species",gillnet; fish trap; hook and line,1,122,325,740
Western Atlantic,Dominican Republic,Las Galeras,I,Las Galeras,openly fished,,,,,,species,hook and line; longline; spear; gillnet,1,122,321,743
Western Atlantic,Dominican Republic,Montecristi,I,Montecristi Reef,closed,Montecristi National Marine Park,512.00,2000,>20km to next reef,low,"effort, gear",,1,122,326,741
Western Atlantic,Dominican Republic,Palmar de Ochoa,I,Palmar de Ochoa,openly fished,,,,,,species,gillnet; spear; hook and line,1,122,324,739
Western Atlantic,Dominican Republic,Pedernales,I,Pedernales Reef,openly fished,,,,,,,hook and line; gillnet; longline; spear,1,122,327,742
