"set_id","shark_trophic_group","shark_trophic_numeric","sum_shark_trophic","set_composition"
"28460","lower order",1,1,"lower"
"28461","lower order",1,1,"lower"
"28462","lower order",1,1,"lower"
"28463","lower order",1,1,"lower"
"28464","lower order",1,1,"lower"
"28465","lower order",1,1,"lower"
"28466","lower order",1,1,"lower"
"28467","lower order",1,1,"lower"
"28468","lower order",1,1,"lower"
"28469","lower order",1,1,"lower"
"28470","lower order",1,1,"lower"
"28472","lower order",1,1,"lower"
"28473","lower order",1,1,"lower"
"28474","lower order",1,1,"lower"
"28475","lower order",1,1,"lower"
"28476","lower order",1,1,"lower"
"28477","lower order",1,1,"lower"
"28478","lower order",1,1,"lower"
"28479","lower order",1,1,"lower"
"28480","lower order",1,1,"lower"
"28481","lower order",1,1,"lower"
"28482","lower order",1,1,"lower"
"28483","lower order",1,1,"lower"
"28484","lower order",1,1,"lower"
"28485","lower order",1,1,"lower"
"28486","lower order",1,1,"lower"
"28487","lower order",1,1,"lower"
"28488","lower order",1,1,"lower"
"28489","lower order",1,1,"lower"
"28490","lower order",1,1,"lower"
"28491","lower order",1,1,"lower"
"28492","lower order",1,1,"lower"
"28493","lower order",1,1,"lower"
"25247","lower order",1,1,"lower"
"25261","lower order",1,1,"lower"
"25262","lower order",1,1,"lower"
"25264","lower order",1,1,"lower"
"25278","lower order",1,1,"lower"
"25288","lower order",1,1,"lower"
"25289","lower order",1,1,"lower"
"28337","lower order",1,1,"lower"
"25391","lower order",1,1,"lower"
"35263","lower order",1,1,"lower"
"25462","lower order",1,1,"lower"
"25624","lower order",1,1,"lower"
"25630","lower order",1,1,"lower"
"25642","lower order",1,1,"lower"
"25736","lower order",1,1,"lower"
"25769","lower order",1,1,"lower"
"25803","lower order",1,1,"lower"
"35264","lower order",1,1,"lower"
"28564","lower order",1,1,"lower"
"28565","lower order",1,1,"lower"
"28568","lower order",1,1,"lower"
"28569","lower order",1,1,"lower"
"28570","lower order",1,1,"lower"
"28574","lower order",1,1,"lower"
"28576","lower order",1,1,"lower"
"28577","lower order",1,1,"lower"
"28578","lower order",1,1,"lower"
"28579","lower order",1,1,"lower"
"28586","lower order",1,1,"lower"
"28587","lower order",1,1,"lower"
"28588","lower order",1,1,"lower"
"28589","lower order",1,1,"lower"
"28592","lower order",1,1,"lower"
"28593","lower order",1,1,"lower"
"28594","lower order",1,1,"lower"
